Dwell Time,SO Number
3.95,7365151
4.58,7371589
5.0,7369578
4.03,7369834
4.7,7378330
9.63,7371464
0.0,7371593
8.52,7369925
15.65,7370101
9.63,7371577
0.0,7364632
0.0,7376949
0.0,7367585
0.0,7367572
0.0,"7371465,7371588"
0.6,7345474
3.68,"7376630,7376921,7376930"
0.0,7367566
0.0,7367363
7.27,7354962
3.8,7370677
2.75,7373027
12.42,7373317
5.3,7372817
7.58,7371846
12.65,"7373034,7377615,7377788"
3.43,7314395
5.07,7377406
22.6,7372734
0.0,"7376838,7376643,7376849"
2.63,7365152
0.0,"7376908,7376639,7376926"
4.95,7364935
2.7,7362364
0.0,7376369
9.33,7376059
14.82,7313769
7.85,7376354
0.0,7377041
5.7,"7371700,7376626,7376910,7376919,7376920,7376927,7376649"
0.0,"7372037,07675300043867088"
6.72,"7373313,7373314,7373481,7373482"
0.0,7372031
3.33,7372740
0.0,7373036
4.57,7372810
6.85,7372742
5.4,7371544
67.35,7376099
10.92,7303891
1.0,7378331
10.08,7371631
12.38,"7376625,7376628,7376913,7376842,7376844,7376644,7376647,7376929,7376932"
8.6,7377374
3.63,7377637
0.0,7371629
7.27,7377464
0.0,2776856
0.0,7363593
0.83,7364634
0.0,7381404
0.0,7381222
0.0,7381401
0.0,7381349
0.0,7381229
0.0,7378148
0.0,7381403
0.0,7378184
0.0,7379908
1.42,7366579
0.0,7378334
0.0,7379810
0.0,7378339
1.35,7373024
0.0,7378336
0.0,7379909
0.0,7377939
0.0,"7376632,7376651"
0.0,7379910
0.0,7379911
6.95,"7371698,7371699,7371879,7372208,7372209,7372152,7372217,7372213,7372218"
6.02,"7371883,7371884,7371888,7371891,7372155,7372214,7372216,7371897,7372302,7372223,7372224"
2.37,7378228
0.0,"7377275,7377139,7377140,7377277,7377278,7377141,7377142,7377143,7377281,7377144,7377145,7377283,7377146,7377147,7377284"
1.5,7377788
0.87,7377279
0.0,"7372795,7373508,7373602,7376383"
2.3,7370102
3.17,7362369
0.0,"7371462,7376000,7376336,7376350"
0.0,"7370853,7377839"
0.0,"11716223,467357957"
0.0,"7370577,7370640,7373073"
0.0,7378309
2.12,7382005
0.0,"7376624,7376638,7376645"
4.13,7372686
0.0,7377497
0.0,7378228
3.07,7376100
4.6,"7376627,7376648,7367100,7381003,7381136"
4.62,7371591
3.47,7282736
2.78,7282823
0.0,7366324
8.15,"7370639,7379419,7380645"
5.27,7371587
4.17,7376095
0.0,"7377247,7377246"
6.63,7282737
0.0,7377498
0.15,7365542
6.5,7372744
8.62,7373040
4.15,7365443
6.98,7366358
1.93,7373041
7.7,7373030
2.48,7375939
0.0,7366325
6.5,7378154
4.87,7376369
3.58,"7372795,7373508,7373602,7376383"
0.0,7377939
0.0,"7377776,7377777,7377778,7377779,7378271,7378272,7378273,7378274"
0.0,7381353
0.0,"7377733,7373682"
5.15,"7376631,7376839,7376843,7376845,7376924,7376650,7376850"
0.0,"7378122,7380068"
0.0,7366326
4.63,"7376907,7376633,7376634,7376918,7376922,7376923,7376925,7376646,7376652,7376933"
0.0,7378184
3.58,7377750
4.72,7373035
6.48,7378199
0.0,7383293
6.15,7351564
5.03,7372733
6.07,7372743
5.88,7372735
4.0,7375936
4.72,7373028
0.0,7365761
4.45,7377948
6.8,7377752
7.25,7377949
0.0,7378148
0.0,7366327
0.0,7376283
2.0,7376098
0.0,7378309
5.0,"7370853,7377839"
0.0,"7370577,7370640,7373073"
8.55,"7371462,7376000,7376336,7376350"
1.02,"7378334,7378336"
2.83,7372750
1.0,7376949
0.0,7378319
0.0,7381436
3.82,7372741
0.0,7383474
8.53,7353288
3.93,7371463
4.05,"7376629,7376912,7376642,7376846,7376848,7376931"
4.35,7378191
7.22,"7376909,7376911,7376640,7376641,7376928,7376847"
0.02,"7372667,7372884"
0.0,7377499
0.0,7379717
0.0,7379963
7.93,7378198
0.0,7379964
0.0,7380708
7.77,7362484
6.33,7377945
0.0,7380528
4.83,7365441
